,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,group,address,long_lat
380,SW12J94X000,TANESEI TRADING PTE. LTD.,THE STAR VISTA,1,B1,28,VISTA EXCHANGE GREEN,138617,-1,1 VISTA EXCHANGE GREEN,"Cold Storage, 1, Vista Exchange Green, Rochester Hill, Southwest, 150162, Singapore"
381,C02035P000,NTUC Fairprice Co-operative Ltd,na,451,1,307,CLEMENTI AVENUE 3,120451,0,451 CLEMENTI AVENUE 3,"NTUC Fairprice, 451, Clementi Avenue 3, Clementi, Southwest, 120451, Singapore"
382,SW10A16E000,NTUC Fairprice Co-operative Ltd,#B1-12/13/14 THE CLEMENTI MALL,3155,na,0,COMMONWEALTH AVE WEST,129588,0,3155 COMMONWEALTH AVE WEST,"Commonwealth Avenue West, Rochester Hill, Clementi, Southwest, 130018, Singapore"
383,SW07331C000,SHENG SIONG SUPERMARKET PTE LTD,na,352,1,91&99,CLEMENTI AVENUE 2,120352,2,352 CLEMENTI AVENUE 2,"UOB, 352, Clementi Avenue 2, Rochester Hill, Clementi, Southwest, 120352, Singapore"
384,SW07481A000,NTUC Fairprice Co-operative Ltd,MULTI STOREY CAR PARK,28,1,83,DOVER CRESCENT,130028,0,28 DOVER CRESCENT,"28, Dover Crescent, Skyline Acres, Fredericton, York County, New Brunswick, E3B 4J7, Canada"
385,C02047J000,U STARS SUPERMARKET PTE. LTD.,na,345,1,78,CLEMENTI AVENUE 5,120345,-1,345 CLEMENTI AVENUE 5,"345, Clementi Avenue 5, Clementi, Southwest, 120345, Singapore"
386,SW12M67E000,SHENG SIONG SUPERMARKET PTE LTD,na,420A,1,1,CLEMENTI AVENUE 1,121420,2,420A CLEMENTI AVENUE 1,"Casa Dental, 420A, Clementi Avenue 1, Rochester Hill, Clementi, Southwest, 121420, Singapore"
387,SW12F58E000,NTUC Fairprice Co-operative Ltd,CLEMENTI AVENUE 2 SHOPPING CENTRE,352,1,141,CLEMENTI AVENUE 2,120352,0,352 CLEMENTI AVENUE 2,"UOB, 352, Clementi Avenue 2, Rochester Hill, Clementi, Southwest, 120352, Singapore"
388,SW08A55C000,LI LI CHENG SUPERMARKET PTE. LTD.,na,51,na,0,SOON LEE ROAD,628088,-1,51 SOON LEE ROAD,"Soon Lee Road, Jurong West, Southwest, 628084, Singapore"
389,SW14817E000,SHENG SIONG SUPERMARKET PTE LTD,PENJURU RECREATION CENTRE,27,1,24,PENJURU WALK,608538,2,27 PENJURU WALK,"Penjuru Recreation Centre, 27, Penjuru Walk, Jurong East, Southwest, 608538, Singapore"
