,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,group,address,long_lat
463,SW16815P000,PHAN NEE INVESTMENTS (S) PTE LTD,na,500,1,2,OLD CHOA CHU KANG ROAD,698928,-1,500 OLD CHOA CHU KANG ROAD,"Old Choa Chu Kang Road, Bukit Batok, Southwest, 698918, Singapore"
464,J02018L000,PRIME SUPERMARKET (1996) PTE LTD,na,253,B1,42650,CHOA CHU KANG AVENUE 1,680253,4,253 CHOA CHU KANG AVENUE 1,"Domino's Pizza, 253, Choa Chu Kang Avenue 1, Bukit Gombak, Southwest, 680253, Singapore"
465,J02010E000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,475,1,1,CHOA CHU KANG AVENUE 3,680475,1,475 CHOA CHU KANG AVENUE 3,"Choa Chu Kang Avenue 3, Southwest, 680475, Singapore"
466,SW11251X000,AJMAL TRADE MART PTE. LTD.,BLK 1 SCAL DORMITORY (1ST STOREY),11,na,0,JALAN LEKAR,698918,-1,11 JALAN LEKAR,"Jalan Lekar, Bukit Batok, Southwest, 698918, Singapore"
467,SW08740N000,AJMAL TRADING GROUP PTE. LTD.,na,1A,na,0,MURAI FARMWAY,709154,-1,1A MURAI FARMWAY,"Murai Farmway, Jurong West, Southwest, 709155, Singapore"
468,J02008P000,ANG KEN CHUA,na,410,1,341,CHOA CHU KANG AVENUE 3,680410,-1,410 CHOA CHU KANG AVENUE 3,"Choa Chu Kang Avenue 3, Southwest, 680475, Singapore"
469,SW09589E000,SHAFEN SUPERMARKET & TRADING (S) PTE. LTD.,MURAI LODGE ONE,1B,1,4,MURAI FARMWAY,709155,-1,1B MURAI FARMWAY,"Murai Farmway, Jurong West, Southwest, 709155, Singapore"
470,SW15626J000,GINZA FARM SINGAPORE PTE. LTD.,D'' KRANJI FARM RESORT,10,1,10A/B,NEO TIEW LANE 2,718813,-1,10 NEO TIEW LANE 2,"D' Kranji Farm Resort, 10, Neo Tiew Lane 2, Lim Chu Kang, Southwest, 718813, Singapore"
471,SW05051J000,SHENG SIONG SUPERMARKET PTE LTD,na,720,1,144,CLEMENTI WEST STREET 2,120720,2,720 CLEMENTI WEST STREET 2,"Sheng Siong, 720, Clementi West Street 2, Clementi, Southwest, 120720, Singapore"
472,SW12O05A000,NTUC Fairprice Co-operative Ltd,na,502,1,41,WEST COAST DRIVE,120502,0,502 WEST COAST DRIVE,"UOB, 502, West Coast Drive, Clementi, Southwest, 120502, Singapore"
473,SW08807K000,COLD STORAGE SINGAPORE (1983) PTE LTD,#B1-19 WEST COAST PLAZA,154,na,0,WEST COAST ROAD,127371,1,154 WEST COAST ROAD,"Cold Storage, 154, West Coast Road, Clementi, Southwest, 127371, Singapore"
474,C02080E000,SHENG SIONG SUPERMARKET PTE LTD,na,61,1,21,TEBAN GARDENS ROAD,600061,2,61 TEBAN GARDENS ROAD,"UOB, 61, Teban Gardens Road, Jurong East, Southwest, 600061, Singapore"
475,SW15968N000,NTUC Fairprice Co-operative Ltd,#01-304/305/306,37,na,0,TEBAN GARDENS ROAD,600037,0,37 TEBAN GARDENS ROAD,"UOB, 37, Teban Gardens Road, Jurong East, Southwest, 600037, Singapore"
476,SW13368A000,L M MEAT PTE. LTD,WEST COAST PLAZA,154,B1,14,WEST COAST ROAD,127371,-1,154 WEST COAST ROAD,"Cold Storage, 154, West Coast Road, Clementi, Southwest, 127371, Singapore"
477,SW12G70J000,COLD STORAGE SINGAPORE (1983) PTE LTD,"KENT VALE ESTATE, NUS",101,1,1,CLEMENTI ROAD,129787,1,101 CLEMENTI ROAD,"Clementi Road, Bukit Timah, Northwest, 599491, Singapore"
